tconst,averageRating,numVotes,originalTitle,startYear,genres,budget,original_language,overview,poster_path,production_countries,revenue,runtime,spoken_languages,status,production_companies_name,title,region,Titres,actor,actress,director,producer,writer,production_countries_1,production_countries_2,production_countries_3,production_countries_4,production_countries_5,actor_1,actor_2,actor_3,actor_4,actor_5,actress_1,actress_2,actress_3,actress_4,actress_5,director_1,director_2,director_3,director_4,director_5,producer_1,producer_2,producer_3,producer_4,producer_5,writer_1,writer_2,writer_3,writer_4,writer_5,genres_1,genres_2,genres_3;;
"tt0315327,6.8,423784,Bruce Almighty,2003,""Comedy,Fantasy"",80000000.0,en,""Bruce Nolan toils as a 'human interest' television reporter in Buffalo, N.Y., but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God—and the Almighty responds, endowing Bruce with all of His divine powers."",/f0QqG14SZYYZcV4VWykVc5w13dz.jpg,US,484592874.0,101,['en'],Released,""['Pit Bull Productions', 'Spyglass Entertainment', 'Universal Pictures', 'Shady Acres Entertainment']"",Bruce tout-puissant,FR,Bruce tout-puissant | 2003 | Bruce Almighty | Bruce Almighty,""Jim Carrey, Morgan Freeman, Philip Baker Hall"",Jennifer Aniston,Tom Shadyac,""James D. Brubaker, Michael Bostick"",""Mark O'Keefe, Steve Koren, Steve Oedekerk"",US,-,-,-,-,Jim Carrey,Morgan Freeman,Philip Baker Hall,-,-,Jennifer Aniston,-,-,-,-,Tom Shadyac,-,-,-,-,James D. Brubaker,Michael Bostick,-,-,-,Mark O'Keefe,Steve Koren,Steve Oedekerk,-,-,Comedy,Fantasy,-";;
"tt0315543,7.5,10715,Elsker dig for evigt,2002,""Drama,Romance"",0.0,da,""Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don’t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her."",/hOrV2fCw2kmSiS4ZMGFPfXqr3lt.jpg,DK,0.0,113,['da'],Released,""['Zentropa Entertainments', 'Det Danske Filminstitut']"",Open Hearts,FR,Open Hearts | 2002 | Open Hearts | Elsker dig for evigt,""Mads Mikkelsen, Nikolaj Lie Kaas"",""Paprika Steen, Sonja Richter"",Susanne Bier,""Jonas Frederiksen, Vibeke Windeløv"",Anders Thomas Jensen,DK,-,-,-,-,Mads Mikkelsen,Nikolaj Lie Kaas,-,-,-,Paprika Steen,Sonja Richter,-,-,-,Susanne Bier,-,-,-,-,Jonas Frederiksen,Vibeke Windeløv,-,-,-,Anders Thomas Jensen,-,-,-,-,Drama,Romance,-";;
"tt0315733,7.6,243396,21 Grams,2003,""Crime,Drama,Thriller"",20000000.0,en,""Paul Rivers, an ailing mathematician lovelessly married to an English émigré"; Christina Peck, an upper-middle-class suburban housewife and mother of two girls;" and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives."",/hdS0to9nUpgK0Zm1bZAF6BWRae7.jpg,US,60427839.0,124,['en'],Released,""['This Is That Productions', 'Y Productions', 'Mediana Productions Filmgesellschaft', 'Focus Features']"",21 grammes,FR,21 grammes | 2003 | 21 Grams | 21 Grams,""Benicio Del Toro, Danny Huston, Sean Penn"",Naomi Watts,Alejandro G. Iñárritu,Robert Salerno,Guillermo Arriaga,US,-,-,-,-,Benicio Del Toro,Danny Huston,Sean Penn,-,-,Naomi Watts,-,-,-,-,Alejandro G. Iñárritu,-,-,-,-,Robert Salerno,-,-,-,-,Guillermo Arriaga,-,-,-,-,Crime,Drama,Thriller"
"tt0315850,6.8,2041,El bonaerense,2002,""Crime,Drama"",0.0,es,""Zapa is a locksmith in a quiet and little town lost somewhere in the province of Buenos Aires. After getting involved in a crime, his uncle, a retired policeman, bails him out and sends him to Buenos Aires city so he can become an aspiring police officer. Soon he will get involved in a new type of corruption."",/AeLZROGOpgJZS0HP6vuA9hj01Ju.jpg,""AR, CL, FR, NL"",410474.0,105,['es'],Released,""['Pol-Ka Producciones', 'Matanza Cine', 'CNC', 'INCAA', 'Ministère de la Culture et de la Communication', 'Pablo Trapero Productions', 'Programa Ibermedia', 'Invercine&Wood']"",El bonaerense,FR,El bonaerense | 2002 | El bonaerense | El bonaerense,""Darío Levy, Hugo Anganuzzi, Jorge Román"",Mimí Ardú,Pablo Trapero,-,""Daniel Valenzuela, Dodi Shoeuer, Nicolas Gueilburt, Ricardo Ragendorfer"",AR,CL,FR,NL,-,Darío Levy,Hugo Anganuzzi,Jorge Román,-,-,Mimí Ardú,-,-,-,-,Pablo Trapero,-,-,-,-,-,-,-,-,-,Daniel Valenzuela,Dodi Shoeuer,Nicolas Gueilburt,Ricardo Ragendorfer,-,Crime,Drama,-";;
"tt0315957,6.6,666,Hiçbiryerde,2002,Drama,0.0,tr,""Sükran's son Veysel works in a factory. Suffering as a result of her husband's political actions, she tries to save her son from the same fate."",/3ptc6lWuj0QemrHlUXkNkD9lcCt.jpg,TR,0.0,90,['tr'],Released,""['Mine Film', 'Luna-Film']"",Où sont nos disparus?,FR,Où sont nos disparus? | 2002 | In Nowhere Land | Hiçbiryerde,""Michael Mendl, Parkan Özturan"",""Meral Okay, Zuhal Olcay"",Tayfun Pirselimoglu,""Gudrun Ruzicková-Steiner, Kadri Yurdatap, Zeynep Özbatur Atakan"",-,TR,-,-,-,-,Michael Mendl,Parkan Özturan,-,-,-,Meral Okay,Zuhal Olcay,-,-,-,Tayfun Pirselimoglu,-,-,-,-,Gudrun Ruzicková-Steiner,Kadri Yurdatap,Zeynep Özbatur Atakan,-,-,-,-,-,-,-,Drama,-,-";;
"tt0315983,7.5,71338,House of Sand and Fog,2003,""Crime,Drama"",16500000.0,en,""Behrani, an Iranian immigrant buys a California bungalow, thinking he can fix it up, sell it again, and make enough money to send his son to college. However, the house is the legal property of former drug addict Kathy. After losing the house in an unfair legal dispute with the county, she is left with nowhere to go. Wanting her house back, she hires a lawyer and befriends a police officer. Neither Kathy nor Behrani have broken the law, so they find themselves involved in a difficult moral dilemma."",/ol3qMk1NYw1pma49FXSz9SUja4d.jpg,US,16942795.0,126,""['en', 'it', 'fa']"",Released,""['Bisgrove Entertainment', 'Cobalt Media Group', 'DreamWorks Pictures']"",House of Sand and Fog,FR,House of Sand and Fog | 2003 | House of Sand and Fog | House of Sand and Fog,""Ben Kingsley, Ron Eldard"",""Frances Fisher, Jennifer Connelly"",Vadim Perelman,Michael London,""Andre Dubus III, Shawn Lawrence Otto"",US,-,-,-,-,Ben Kingsley,Ron Eldard,-,-,-,Frances Fisher,Jennifer Connelly,-,-,-,Vadim Perelman,-,-,-,-,Michael London,-,-,-,-,Andre Dubus III,Shawn Lawrence Otto,-,-,-,Crime,Drama,-";;
"tt0316188,7.2,5661,Raising Victor Vargas,2002,""Drama,Romance"",800000.0,en,""The film follows Victor, a Lower East Side teenager, as he deals with his eccentric family, including his strict grandmother, his bratty sister, and a younger brother who completely idolizes him. Along the way he tries to win the affections of Judy, who is very careful and calculating when it comes to how she deals with men."",/cMHMtMBca8VNxjYICc1WHK1Qqe5.jpg,US,2816116.0,88,""['en', 'es']"",Released,""['BlueLight', 'Forensic Films', 'StudioCanal', 'Canal+']"",Long Way Home,FR,Long Way Home | 2002 | Raising Victor Vargas | Raising Victor Vargas,""Kevin Rivera, Victor Rasuk"",""Donna Maldonado, Krystal Rodriguez"",Peter Sollett,""Alain de la Mata, Robin O'Hara, Scott Macaulay"",Eva Vives,US,-,-,-,-,Kevin Rivera,Victor Rasuk,-,-,-,Donna Maldonado,Krystal Rodriguez,-,-,-,Peter Sollett,-,-,-,-,Alain de la Mata,Robin O'Hara,Scott Macaulay,-,-,Eva Vives,-,-,-,-,Drama,Romance,-";;
"tt0316356,7.4,76755,Open Range,2003,""Action,Drama,Romance"",22000000.0,en,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,/d0zydHSE3kaidjDdlc4T6xnp113.jpg,""GB, US"",68296293.0,139,['en'],Released,""['Tig Productions', 'Touchstone Pictures', 'Cobalt Media Group', 'Beacon Pictures', 'Allied Filmmakers']"",Open Range,FR,Open Range | 2003 | Open Range | Open Range,""Abraham Benrubi, Diego Luna, Kevin Costner, Robert Duvall"",-,-,""David Valdes, Jake Eberts"",""Craig Storper, Lauran Paine"",GB,US,-,-,-,Abraham Benrubi,Diego Luna,Kevin Costner,Robert Duvall,-,-,-,-,-,-,-,-,-,-,-,David Valdes,Jake Eberts,-,-,-,Craig Storper,Lauran Paine,-,-,-,Action,Drama,Romance";;
"tt0316396,6.8,78586,Peter Pan,2003,""Adventure,Family,Fantasy"",100000000.0,en,""In stifling Edwardian London, Wendy Darling mesmerizes her brothers every night with bedtime tales of swordplay, swashbuckling and the fearsome Captain Hook. But the children become the heroes of an even greater story, when Peter Pan flies into their nursery one night and leads them over moonlit rooftops through a galaxy of stars and to the lush jungles of Neverland."",/22nWrBPvM2p4mmpLxK4Oil1Spou.jpg,""AU, GB, US"",121975011.0,113,""['el', 'pt', 'fr', 'mo', 'en']"",Released,""['Revolution Studios', 'Quinta Communications', 'Universal Pictures', 'Columbia Pictures']"",Peter Pan,FR,Peter Pan | 2003 | Peter Pan | Peter Pan,""Jason Isaacs, Jeremy Sumpter"",""Lynn Redgrave, Olivia Williams"",P.J. Hogan,""Douglas Wick, Lucy Fisher, Patrick McCormick"",""J.M. Barrie, Michael Goldenberg"",AU,GB,US,-,-,Jason Isaacs,Jeremy Sumpter,-,-,-,Lynn Redgrave,Olivia Williams,-,-,-,P.J. Hogan,-,-,-,-,Douglas Wick,Lucy Fisher,Patrick McCormick,-,-,J.M. Barrie,Michael Goldenberg,-,-,-,Adventure,Family,Fantasy";;
"tt0316494,5.7,1057,Rire et châtiment,2003,""Comedy,Romance"",0.0,fr,""French director Isabelle Doval directs her husband, popular comedic actor José Garcia, in the comedy Rire et Chatiment (Laughter and Punishment). Vincent (Garcia) is a popular physician whose aggressive need to be funny and get people's attention annoys his girlfriend, Camille (Doval), to the point that she leaves him. He begins to suspect she might have been onto something when his behavior begins causing people to die."",/e0zbFNkck2oSgOCvluSMXOvmeIj.jpg,,0.0,94,['fr'],Released,[],Rire et châtiment,FR,Rire et châtiment | 2003 | Laughter and Punishment | Rire et châtiment,""Benoît Poelvoorde, José Garcia, Laurent Lucas"",Isabelle Doval,-,Michel Propper,""Jean-François Halin, Olivier Dague"",,-,-,-,-,Benoît Poelvoorde,José Garcia,Laurent Lucas,-,-,Isabelle Doval,-,-,-,-,-,-,-,-,-,Michel Propper,-,-,-,-,Jean-François Halin,Olivier Dague,-,-,-,Comedy,Romance,-";;
"tt0316654,7.5,689768,Spider-Man 2,2004,""Action,Adventure,Sci-Fi"",200000000.0,en,""Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well..."",/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,US,783766341.0,127,""['en', 'ru', 'zh']"",Released,""['Marvel Enterprises', 'Laura Ziskin Productions']"",Spider-Man 2,FR,Spider-Man 2 | 2004 | Spider-Man 2 | Spider-Man 2,""Alfred Molina, James Franco, Tobey Maguire"",Kirsten Dunst,Sam Raimi,-,""Alfred Gough, Michael Chabon, Miles Millar, Stan Lee, Steve Ditko"",US,-,-,-,-,Alfred Molina,James Franco,Tobey Maguire,-,-,Kirsten Dunst,-,-,-,-,Sam Raimi,-,-,-,-,-,-,-,-,-,Alfred Gough,Michael Chabon,Miles Millar,Stan Lee,Steve Ditko,Action,Adventure,Sci-Fi";;
"tt0316824,6.0,4459,In Enemy Hands,2004,""Action,Drama,Thriller"",5400000.0,en,""At the height of Hitler's infamous U-boat war, the crew of the U.S.S. Swordfish were heading home after months at sea. They never made it. Now prisoners of war aboard U-boat 429, a small group of American survivors will find their loyalties put to the ultimate test when they're forced to join their German captors to fight for their very lives."",/4CQR4giYM3NNzBTpA75Fq8I5rqM.jpg,US,64236.0,94,""['de', 'en']"",Released,""['Pierce/Williams Entertainment', 'Artisan Entertainment', 'Splendid Pictures', 'John Brister Productions']"",Entre les mains de l'ennemi,FR,Entre les mains de l'ennemi | 2004 | In Enemy Hands | In Enemy Hands,""Clark Gregg, Thomas Kretschmann, Til Schweiger, William H. Macy"",-,Tony Giglio,""John H. Brister, Julius R. Nasso, Michael A. Pierce"",""John E. Deaver, Johnny Hartmann"",US,-,-,-,-,Clark Gregg,Thomas Kretschmann,Til Schweiger,William H. Macy,-,-,-,-,-,-,Tony Giglio,-,-,-,-,John H. Brister,Julius R. Nasso,Michael A. Pierce,-,-,John E. Deaver,Johnny Hartmann,-,-,-,Action,Drama,Thriller";;
"tt0316954,6.3,227,A+ Pollux,2002,""Comedy,Drama,Romance"",0.0,fr,""Halvard Sanz believes in the principle according to which we always meet people who really interest us twice. It’s written in the tables of how the world works, right next to the law of series and the constant speed of light. Halvard therefore believes that he’ll be able to find Pollux again. She’s the woman of his dreams, but he didn’t get the time to tell her so. Dizzy as a bee, he’ll charge head first into the plate glass window of life."",/qQhH9NMR754Tzwzn6ddyj5eRhNb.jpg,FR,0.0,90,['fr'],Released,[],A+ Pollux,FR,A+ Pollux | 2002 | A+ Pollux | A+ Pollux,""Gad Elmaleh, Jean-Marie Galey"",""Cécile de France, Nathalie Boutefeu"",Luc Pagès,Laurent Bénégui,""Maïté Maillé, Philippe Jaenada"",FR,-,-,-,-,Gad Elmaleh,Jean-Marie Galey,-,-,-,Cécile de France,Nathalie Boutefeu,-,-,-,Luc Pagès,-,-,-,-,Laurent Bénégui,-,-,-,-,Maïté Maillé,Philippe Jaenada,-,-,-,Comedy,Drama,Romance";;
"tt0317132,6.3,12391,Because of Winn-Dixie,2005,""Comedy,Drama,Family"",14000000.0,en,""A girl, abandoned by her mother when she was three, moves to a small town in Florida with her father. There, she adopts an orphaned dog she names Winn-Dixie. The bond between the girl and her special companion brings together the people in a small Florida town and heals her own troubled relationship with her father."",/oMUFS7HmIyTeui5xuoIEkPYTWC8.jpg,US,32645546.0,106,['en'],Released,['20th Century Fox'],Winn-Dixie mon meilleur ami,FR,Winn-Dixie mon meilleur ami | 2005 | Because of Winn-Dixie | Because of Winn-Dixie,Jeff Daniels,""AnnaSophia Robb, Cicely Tyson, Eva Marie Saint"",Wayne Wang,Trevor Albert,""Joan Singleton, Kate DiCamillo"",US,-,-,-,-,Jeff Daniels,-,-,-,-,AnnaSophia Robb,Cicely Tyson,Eva Marie Saint,-,-,Wayne Wang,-,-,-,-,Trevor Albert,-,-,-,-,Joan Singleton,Kate DiCamillo,-,-,-,Comedy,Drama,Family";;
"tt0317171,6.9,2649,Sud sanaeha,2002,""Drama,Romance"",0.0,th,""Min is an illegal Burmese immigrant living in Thailand who has contracted a mysterious painful rash covering his upper body. His girlfriend, Roong, and a middle-aged woman, Orn, take him to see a doctor. Min pretends that he cannot speak because he is not fluent in Thai and speaking would reveal him to be an illegal immigrant."",/30iCmKCVTuFWDh7tpBKzeAHlOAQ.jpg,""FR, TH"",0.0,128,""['my', 'th']"",Released,""['Anna Sanders Films', 'Laong Dao Co., Ltd.', 'Kick the Machine', 'Sahamongkolfilm']"",Blissfully Yours,FR,Blissfully Yours | 2002 | Blissfully Yours | Sud sanaeha,""Min Oo, Sa-gnad Chaiyapan"",""Jenjira Pongpas, Kanokporn Tongaram"",Apichatpong Weerasethakul,""Charles de Meaux, Eric Chan"",-,FR,TH,-,-,-,Min Oo,Sa-gnad Chaiyapan,-,-,-,Jenjira Pongpas,Kanokporn Tongaram,-,-,-,Apichatpong Weerasethakul,-,-,-,-,Charles de Meaux,Eric Chan,-,-,-,-,-,-,-,-,Drama,Romance,-";;
"tt0317198,6.0,119722,Bridget Jones: The Edge of Reason,2004,""Comedy,Drama,Romance"",40000000.0,en,""Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, a strange contractor and the worst vacation of her life."",/42v82AwTnhaL1JkNcQK8PRAh46P.jpg,""FR, DE, IE, GB, US"",262500000.0,108,""['de', 'th', 'en']"",Released,""['Miramax', 'Universal Pictures', 'Working Title Films', 'Atlantic Television', 'StudioCanal', 'Little Bird']"",Bridget Jones: L'âge de raison,FR,Bridget Jones: L'âge de raison | 2004 | Bridget Jones: The Edge of Reason | Bridget Jones: The Edge of Reason,""Colin Firth, Hugh Grant"",""Gemma Jones, Renée Zellweger"",Beeban Kidron,Tim Bevan,""Adam Brooks, Andrew Davies, Helen Fielding, Richard Curtis"",FR,DE,IE,GB,US,Colin Firth,Hugh Grant,-,-,-,Gemma Jones,Renée Zellweger,-,-,-,Beeban Kidron,-,-,-,-,Tim Bevan,-,-,-,-,Adam Brooks,Andrew Davies,Helen Fielding,Richard Curtis,-,Comedy,Drama,Romance";;
